scope,signal,n,n_pos,auroc,auroc_ci_lo,auroc_ci_hi,auprc,f1_cv,f1_std,precision,recall,threshold,latency_ms
overall,LogProb (mean),150,41,0.8496,0.7682,0.9183,0.7174,0.6855,0.0755,0.6919,0.7111,0.2130,0.022
overall,Baseline (ROUGE-L),150,41,0.8370,0.7617,0.9004,0.6155,0.6619,0.0663,0.6235,0.7111,-0.2124,41.451
overall,COMBINED (LR),150,41,0.8353,0.7460,0.9151,0.7280,0.6589,0.0768,0.6776,0.7111,0.3591,nan
overall,LogProb (min),150,41,0.8221,0.7325,0.8949,0.6659,0.5981,0.1723,0.5333,0.7194,1.4364,0.022
overall,Baseline (cosine),150,41,0.7369,0.6550,0.8190,0.4308,0.6164,0.0759,0.5115,0.7861,-0.7627,41.451
overall,NLI entail (min),150,41,0.7176,0.6291,0.8076,0.4905,0.4823,0.0703,0.3920,0.6889,-0.0005,2596.968
overall,SelfConsist (NLI),150,41,0.6731,0.5784,0.7659,0.4123,0.5050,0.0541,0.3874,0.7306,-0.2903,3185.039
overall,NLI entail (mean),150,41,0.6699,0.5806,0.7570,0.4458,0.4995,0.0845,0.3569,0.8639,-0.4299,2596.968
overall,NLI entail (whole),150,41,0.6158,0.5161,0.7194,0.3832,0.4243,0.1056,0.3025,0.7528,-0.0103,2596.968
overall,NLI non-contradict,150,41,0.5435,0.4315,0.6436,0.3200,0.4505,0.0376,0.3003,0.9028,-0.9382,2596.968
overall,JUDGE ollama,150,41,nan,nan,nan,nan,0.5893,nan,0.4648,0.8049,nan,4981.953
overall,JUDGE ollama_v2,150,41,nan,nan,nan,nan,0.5714,nan,0.4507,0.7805,nan,4631.590
well_supported,LogProb (mean),74,10,0.7547,0.5662,0.8921,0.4178,0.2914,0.1916,0.1950,0.6000,0.1651,0.023
well_supported,LogProb (min),74,10,0.7984,0.6151,0.9180,0.4588,0.2082,0.1726,0.1530,0.4000,1.5185,0.023
well_supported,SelfConsist (NLI),74,10,0.5922,0.3812,0.7795,0.1968,0.1371,0.1718,0.0900,0.3000,-0.1817,3101.991
well_supported,NLI entail (mean),74,10,0.5875,0.4314,0.7633,0.2528,0.2329,0.1318,0.1400,0.7000,-0.4277,2402.632
well_supported,NLI non-contradict,74,10,0.5703,0.3623,0.7722,0.2080,0.1105,0.1354,0.0708,0.3000,-0.1643,2402.632
well_supported,NLI entail (min),74,10,0.6000,0.3773,0.8089,0.2943,0.2300,0.2040,0.1667,0.4000,-0.0004,2402.632
well_supported,NLI entail (whole),74,10,0.5984,0.3625,0.8183,0.3085,0.1667,0.2108,0.1500,0.2000,-0.0003,2402.632
well_supported,Baseline (cosine),74,10,0.6344,0.4117,0.8273,0.3148,0.1289,0.1758,0.0821,0.3000,-0.8362,43.799
well_supported,Baseline (ROUGE-L),74,10,0.8219,0.6653,0.9382,0.5199,0.2100,0.1800,0.1667,0.3000,-0.2809,43.799
partially_supported,LogProb (mean),26,12,0.8512,0.6862,0.9750,0.8530,0.6876,0.2034,0.6333,0.8000,0.2217,0.021
partially_supported,LogProb (min),26,12,0.8274,0.6562,0.9583,0.8290,0.6410,0.1013,0.5667,0.7667,1.4242,0.021
partially_supported,SelfConsist (NLI),26,12,0.7857,0.5818,0.9542,0.7478,0.7267,0.1665,0.8333,0.6667,-0.1519,3251.770
partially_supported,NLI entail (mean),26,12,0.6488,0.4248,0.8562,0.6266,0.5933,0.1608,0.4733,0.8000,-0.3338,2272.594
partially_supported,NLI non-contradict,26,12,0.4881,0.2498,0.7398,0.4518,0.4952,0.2513,0.3800,0.7333,-0.6823,2272.594
partially_supported,NLI entail (min),26,12,0.6905,0.4583,0.8935,0.6184,0.6743,0.0729,0.6000,0.8667,-0.0004,2272.594
partially_supported,NLI entail (whole),26,12,0.8452,0.6766,0.9674,0.8428,0.5562,0.3247,0.5667,0.6000,-0.0022,2272.594
partially_supported,Baseline (cosine),26,12,0.8036,0.6125,0.9643,0.7137,0.7148,0.1243,0.7033,0.8000,-0.7514,37.822
partially_supported,Baseline (ROUGE-L),26,12,0.9792,0.9196,1.0000,0.9792,0.8933,0.1373,1.0000,0.8333,-0.2079,37.822
poorly_supported,LogProb (mean),50,19,0.8523,0.7004,0.9557,0.7568,0.7849,0.1167,0.8100,0.7833,0.2145,0.023
poorly_supported,LogProb (min),50,19,0.7844,0.6249,0.9107,0.7173,0.7311,0.1854,0.6600,0.8500,1.4157,0.023
poorly_supported,SelfConsist (NLI),50,19,0.6740,0.5127,0.8285,0.5647,0.5149,0.1461,0.4633,0.6167,-0.3432,3273.250
poorly_supported,NLI entail (mean),50,19,0.5314,0.3597,0.6971,0.4622,0.6110,0.0816,0.4556,0.9500,-0.4183,3053.259
poorly_supported,NLI non-contradict,50,19,0.4312,0.2597,0.6023,0.4013,0.4803,0.1577,0.3375,0.8500,-0.7750,3053.259
poorly_supported,NLI entail (min),50,19,0.7402,0.5828,0.8681,0.6871,0.6419,0.0492,0.5089,0.9000,-0.0009,3053.259
poorly_supported,NLI entail (whole),50,19,0.5229,0.3547,0.6892,0.4124,0.5547,0.0798,0.3949,0.9333,-0.5156,3053.259
poorly_supported,Baseline (cosine),50,19,0.5637,0.3967,0.7302,0.4034,0.5916,0.0852,0.4337,0.9500,-0.7469,39.864
poorly_supported,Baseline (ROUGE-L),50,19,0.7708,0.6078,0.9036,0.6224,0.6412,0.0626,0.5293,0.8500,-0.1835,39.864
distractor_dissimilar,LogProb (mean),25,10,0.8600,0.6764,1.0000,0.8284,0.6533,0.3436,0.6667,0.7000,0.2182,0.023
distractor_dissimilar,LogProb (min),25,10,0.8400,0.6533,0.9744,0.7468,0.7810,0.1822,0.7800,0.9000,1.4157,0.023
distractor_dissimilar,SelfConsist (NLI),25,10,0.6800,0.4480,0.8801,0.6018,0.4686,0.2666,0.3600,0.7000,-0.4062,3273.290
distractor_dissimilar,NLI entail (mean),25,10,0.5533,0.3076,0.7821,0.4825,0.6400,0.1306,0.5000,0.9000,-0.2956,2999.997
distractor_dissimilar,NLI non-contradict,25,10,0.3800,0.1333,0.6429,0.4338,0.5238,0.0952,0.3700,0.9000,-0.9382,2999.997
distractor_dissimilar,NLI entail (min),25,10,0.8067,0.5952,0.9600,0.7720,0.5267,0.2800,0.4333,0.7000,-0.0007,2999.997
distractor_dissimilar,NLI entail (whole),25,10,0.6000,0.3525,0.8205,0.4672,0.6400,0.1306,0.5000,0.9000,-0.0037,2999.997
distractor_dissimilar,Baseline (cosine),25,10,0.5733,0.3332,0.8100,0.4310,0.6667,0.1461,0.5333,0.9000,-0.5287,39.940
distractor_dissimilar,Baseline (ROUGE-L),25,10,0.8400,0.6538,0.9825,0.6967,0.5000,0.2582,0.5000,0.6000,-0.1633,39.940
distractor_similar,LogProb (mean),25,9,0.8264,0.5735,1.0000,0.7158,0.8000,0.2449,0.8000,0.8000,0.2216,0.022
distractor_similar,LogProb (min),25,9,0.7361,0.4675,0.9616,0.7135,0.4333,0.3887,0.4000,0.5000,1.4740,0.022
distractor_similar,SelfConsist (NLI),25,9,0.6944,0.4474,0.9100,0.5992,0.3933,0.2195,0.4167,0.5000,-0.2900,3273.211
distractor_similar,NLI entail (mean),25,9,0.5000,0.2206,0.7302,0.5006,0.5686,0.1317,0.4267,0.9000,-0.4183,3106.522
distractor_similar,NLI non-contradict,25,9,0.4792,0.2115,0.7381,0.3934,0.5029,0.0840,0.3567,0.9000,-0.0929,3106.522
distractor_similar,NLI entail (min),25,9,0.6389,0.3971,0.8473,0.5336,0.5200,0.1470,0.4333,0.7000,-0.0008,3106.522
distractor_similar,NLI entail (whole),25,9,0.4028,0.1429,0.6600,0.3832,0.5086,0.1228,0.3600,0.9000,-0.6831,3106.522
distractor_similar,Baseline (cosine),25,9,0.4236,0.1798,0.6667,0.3391,0.5419,0.0885,0.3933,0.9000,-0.7469,39.787
distractor_similar,Baseline (ROUGE-L),25,9,0.7014,0.4550,0.9118,0.6365,0.6000,0.0816,0.5000,0.8000,-0.2024,39.787
